he0,2
he1,2
he2,3
he3,2
he4,2
he5,2
he6,3
he7,3
he8,3
he9,2
he10,3
he11,2
he12,2
he13,2
he14,2
he15,2
he16,2
he17,3
he18,3
he19,2
he20,2
he21,5
he22,2
he23,3
he24,3
he25,2
he26,2
he27,4
he28,2
he29,2
he30,2
he31,4
he32,2
he33,4
he34,4
he35,2
he36,3
he37,3
he38,5
he39,6
he40,2
he41,5
he42,3
he43,4
he44,4
he45,5
he46,2
he47,6
he48,9
he49,2
he50,2
he51,2
he52,9
he53,3
he54,3
he55,5
he56,2
he57,2
he58,5
he59,7
he60,2
he61,3
he62,3
he63,3
he64,4
he65,5
he66,4
he67,2
he68,3
he69,14
he70,2
he71,4
he72,3
he73,2
he74,4
he75,2
he76,7
he77,2
he78,15
he79,3
he80,6
he81,3
he82,2
he83,6
he84,10
he85,2
he86,2
he87,6
he88,2
he89,4
he90,7
he91,4
he92,5
he93,10
he94,2
he95,3
he96,2
he97,7
he98,2
he99,2
he100,4
he101,18
he102,3
he103,3
he104,13
he105,3
he106,2
he107,6
he108,3
he109,14
he110,2
he111,3
he112,9
he113,8
he114,9
he115,8
he116,9
he117,2
he118,3
he119,17
he120,5
he121,3
he122,3
he123,9
he124,15
he125,3
he126,6
he127,5
he128,17
he129,9
he130,2
he131,2
he132,14
he133,4
he134,5
he135,5
he136,15
he137,3
he138,6
he139,14
he140,2
he141,5
he142,3
he143,4
he144,14
he145,3
he146,7
he147,8
he148,4
he149,7
he150,2
he151,5
he152,6
he153,2
he154,13
he155,4
he156,2
he157,4
he158,2
he159,2
he160,13
he161,2
he162,6
he163,2
he164,4
he165,6
he166,8
he167,3
he168,5
he169,5
he170,2
he171,4
he172,5
he173,6
he174,10
he175,4
he176,5
he177,11
he178,2
he179,2
he180,2
he181,14
he182,4
he183,3
he184,5
he185,6
he186,11
he187,3
he188,3
he189,4
he190,13
he191,3
he192,2
he193,2
he194,2
he195,3
he196,17
he197,4
he198,7
he199,4
he200,13
he201,3
he202,10
he203,2
he204,2
he205,14
he206,6
he207,8
he208,2
he209,11
he210,2
he211,12
he212,2
he213,8
he214,12
he215,18
he216,3
he217,2
he218,7
he219,3
he220,10
he221,21
he222,9
he223,11
he224,2
he225,12
he226,5
he227,5
he228,9
he229,5
he230,22
he231,3
he232,2
he233,5
he234,14
he235,16
he236,6
he237,9
he238,9
he239,2
he240,3
he241,15
he242,7
he243,2
he244,2
he245,12
he246,4
he247,3
he248,7
he249,3
he250,16
he251,6
he252,2
he253,10
he254,2
he255,2
he256,5
he257,5
he258,3
he259,19
he260,3
he261,2
he262,5
he263,3
he264,19
he265,3
he266,6
he267,2
he268,8
he269,2
he270,18
he271,3
he272,3
he273,16
he274,2
he275,2
he276,15
he277,26
he278,5
he279,2
he280,8
he281,7
he282,3
he283,19
he284,4
he285,8
he286,7
he287,21
he288,5
he289,11
he290,3
he291,11
he292,29
he293,6
he294,7
he295,2
he296,2
he297,3
he298,14
he299,5
he300,13
he301,2
he302,6
he303,2
he304,22
he305,4
he306,3
he307,18
he308,6
he309,2
he310,23
he311,11
he312,12
he313,2
